Brand,Model,Segment,Body,Year,Engine,Power,Torque,Intake,Cubic_Capacity,Cylinders,Fuel
Mercedes-Benz,C200,C-Class,W205,2014 - 2020,M274 DE20 LA,181,300,turbo charger,2.0,4,Petrol
Mercedes-Benz,C250,C-Class,W205,2014 - 2020,M274 DE20 LA,208,350,turbo charger,2.0,4,Petrol
Mercedes-Benz,C300,C-Class,W205,2014 - 2020,M274 DE20 LA,242,370,turbo charger,2.0,4,Petrol
Mercedes-Benz,C200d,C-Class,W205,2014 - 2020,OM626 DE16 LA,134,300,turbo charger,1.6,4,Diesel
Mercedes-Benz,C200d,C-Class,W205,2014 - 2020,OM651 DE22 LA red.,134,350,turbo charger,2.1,4,Diesel
Mercedes-Benz,C220d,C-Class,W205,2014 - 2020,OM651 DE22 LA,170,400,twin turbo,2.1,4,Diesel
Mercedes-Benz,C250d,C-Class,W205,2014 - 2020,OM651 DE22 LA,201,500,twin turbo,2.1,4,Diesel
Mercedes-Benz,E200,E-Class,W213,2016 - 2019,M274 DE20 LA,181,300,turbo charger,2.0,4,Petrol
Mercedes-Benz,E200,E-Class,W213,2019 - 2020,M264 E20 DEH LA,194,320,turbo charger,2.0,4,Petrol
Mercedes-Benz,E250,E-Class,W213,2016 - 2018,M274 DE20 LA,208,350,turbo charger,2.0,4,Petrol
Mercedes-Benz,E300,E-Class,W213,2016 - 2019,M274 DE20 LA,242,370,turbo charger,2.0,4,Petrol
Mercedes-Benz,E300,E-Class,W213,2019 - 2020,M264 E20 DEH LA,254,370,turbo charger,2.0,4,Petrol
Mercedes-Benz,E350,E-Class,W213,2018 - 2020,M264 E20 DEH LA,295,400,turbo charger,2.0,4,Petrol
Mercedes-Benz,E200d,E-Class,W213,2016 - 2019,OM654 DE20 SCR,148,360,turbo charger,2.0,4,Diesel
Mercedes-Benz,E200d,E-Class,W213,2019 - 2020,OM654 DE16 G SCR,158,360,turbo charger,1.6,4,Diesel
Mercedes-Benz,E220d,E-Class,W213,2016 - 2020,OM654 DE20 SCR,191,400,turbo charger,2.0,4,Diesel
Mercedes-Benz,E300d,E-Class,W213,2018 - 2020,OM654 DE20 SCR,242,500,turbo charger,2.0,4,Diesel
Mercedes-Benz,E350d,E-Class,W213,2016 - 2018,OM642 LS DE30 LA,254,620,turbo charger,3.0,6,Diesel
Mercedes-Benz,E350d,E-Class,W213,2018 - 2020,OM656 DE29T LA,282,600,turbo charger,3.0,6,Diesel
Mercedes-Benz,E400d,E-Class,W213,2018 - 2020,OM656 DE29TT LA,335,700,twin turbo,3.0,6,Diesel
Mercedes-Benz,S300,S-Class,W221,2007 - 2013,M272,228,300,stock,3.0,6,Petrol
Mercedes-Benz,S350 / S350 4MATIC,S-Class,W221,2005 - 2013,M272,268,350,stock,3.5,6,Petrol
MErcedes-Benz,S350 BLUE,S-Class,W221,2011 - 2013,M276,302,370,stock,3.5,6,Petrol
Mercedes-Benz,S400,S-Class,W221,2009 - 2013,M272,275,350,stock,3.5,6,Petrol
Mercedes-Benz,S450 / S450 4MATIC,S-Class,W221,2006 - 2013,M273,335,460,stock,4.7,8,Petrol
Mercedes-Benz,S500,S-Class,W221,2011 - 2013,M278,429,700,twin turbo,4.7,8,Petrol
Mercedes-Benz,S500,S-Class,W221,2005 - 2011,M273,383,530,stock,5.5,8,Petrol
Mercedes-Benz,S550,S-Class,W221,2006 - 2011,M273,383,530,stock,5.5,8,Petrol
Mercedes-Benz,S550,S-Class,W221,2011 - 2013,M278,429,700,twin turbo,4.7,8,Petrol
Mercedes-Benz,S600,S-Class,W221,2006 - 2013,M275,510,830,twin turbo,5.5,8,Petrol
Mercedes-Benz,S250,S-Class,W221,2009 - 2013,OM651,201,500,turbo charger,2.1,4,Diesel
Mercedes-Benz,S300 CDI,S-Class,W221,2009 - 2013,OM651,201,500,turbo charger,2.1,4,Diesel
Mercedes-Benz,S320 CDI,S-Class,W221,2006 - 2009,OM642,232,540,turbo charger,3.0,6,Diesel
Mercedes-Benz,S350 CDI,S-Class,W221,2009 - 2011,OM642,232,540,turbo charger,3.0,6,Diesel
Mercedes-Benz,S350 BlueTEC,S-Class,W221,2011 - 2013,OM642,254,620,turbo charger,3.0,6,Diesel
Mercedes-Benz,S420 CDI,S-Class,W221,2006 - 2009,OM629,316,730,twin turbo,4.0,8,Diesel
Mercedes-Benz,S450 CDI,S-Class,W221,2009 - 2011,OM629,316,730,twin turbo,4.0,8,Diesel
Mercedes-Benz,CLS 280,CLS-Class,C219,2008 - 2009,M272 E30,228,300,stock,3.0,6,Petrol
Mercedes-Benz,CLS 300,CLS-Class,C219,2009 - 2010,M272 E30,228,300,stock,3.0,6,Petrol
Mercedes-Benz,CLS 350,CLS-Class,C219,2004 - 2006,M272 E35,268,350,stock,3.5,6,Petrol
Mercedes-Benz,CLS 350 CGI,CLS-Class,C219,2006 - 2010,M272 DE35,288,365,stock,3.5,6,Petrol
Mercedes-Benz,CLS 500,CLS-Class,C219,2004 - 2006,M113 E50,302,460,stock,5.0,8,Petrol
Mercedes-Benz,CLS 500,CLS-Class,C219,2007 - 2010,M273 E55,382,530,stock,5.5,8,Petrol
Mercedes-Benz,CLS 550,CLS-Class,C219,2007 - 2010,M273 E55,382,530,stock,5.5,8,Petrol
Mercedes-Benz,CLS 55 AMG,CLS-Class,C219,2004 - 2006,M113 E55 AMG,469,700,supercharger,5.4,8,Petrol
Mercedes-Benz,CLS 63 AMG,CLS-Class,C219,2006 - 2010,M156 E63,507,630,stock,6.2,8,Petrol
Mercedes-Benz,CLS 320 CDI,CLS-Class,C219,2005 - 2010,OM642 DE30,221,510,turbo charger,3.0,6,Diesel
Mercedes-Benz,CLS 350 CDI,CLS-Class,C219,2007 - 2010,OM642 DE30,221,540,turbo charger,3.0,6,Diesel
Mercedes-Benz,CLS 350,CLS-Class,C218,2011 - 2014,M276 DE35,302,370,stock,3.5,6,Petrol
Mercedes-Benz,CLS 400,CLS-Class,C218,2014 - 2017,M276 DE35 AL,329,480,twin turbo,3.5,6,Petrol
Mercedes-Benz,CLS 500,CLS-Class,C218,2011 - 2017,M278 DE46,402,600,twin turbo,4.7,8,Petrol
Mercedes-Benz,CLS 220,CLS-Class,C218,2014 - 2017,OM651 DE22,168,400,twin turbo,2.1,4,Diesel
Mercedes-Benz,CLS 250 CDI / BLUE,CLS-Class,C218,2011 - 2017,OM651 DE22,201,500,twin turbo,2.1,4,Diesel
Mercedes-Benz,CLS 350 CDI,CLS-Class,C218,2011 - 2014,OM642 DE30,261,620,turbo charger,3.0,6,Diesel
Mercedes-Benz,CLS 350 BlueTEC,CLS-Class,C218,2014 - 2017,OM642 DE30,255,620,turbo charger,3.0,6,Diesel
BMW,320i,3-Series,F30,2012 - 2015,N20B20,181,270,turbo charger,2.0,4,Petrol
BMW,320i,3-Series,F30,2015 - 2019,B48B20,181,270,turbo charger,2.0,4,Petrol
BMW,320i ED,3-Series,F30,2012 - 2015,N13B16,168,250,turbo charger,1.6,4,Petrol
BMW,328i,3-Series,F30,2012 - 2015,N20B20,241,350,turbo charger,2.0,4,Petrol
BMW,330i,3-Series,F30,2015 - 2019,B48B20,248,350,turbo charger,2.0,4,Petrol
BMW,335i,3-Series,F30,2012 - 2015,N55B30M0,302,400,turbo charger,3.0,6,Petrol
BMW,340i,3-Series,F30,2015 - 2019,B58B30M0,322,450,turbo charger,3.0,6,Petrol
